eQTL,outcome,nSNP,PP0,PP1,PP2,PP3,PP4,topSNP
ROCK2,BMI,9302,0.0,0.35,0.0,0.605,0.045,rs12468344
ROCK2,HepaticFat,7318,0.0,0.836,0.0,0.159,0.005,rs12468344
ROCK2,FI,2147,0.0,0.953,0.0,0.044,0.003,rs12468344
ROCK2,FG,2158,0.0,0.959,0.0,0.04,0.001,rs12468344
ROCK2,HbA1c,2167,0.0,0.915,0.0,0.084,0.001,rs12468344
ROCK2,2hGlu,2172,0.0,0.91,0.0,0.085,0.005,rs12468344
ROCK2,T2D,853,0.0,0.979,0.0,0.017,0.004,rs12468344
KCNJ11,T2D[posctrl],1066,0.0,0.0,0.0,0.112,0.888,rs757110
GIPR,T2D[posctrl],661,0.976,0.011,0.013,0.0,0.0,rs11083785
SORT1,LDL[posctrl],284,0.0,0.0,0.234,0.752,0.013,rs650985
